반달소프트,2023년 상반기 백엔드 개발자,성남 분당구,정규직 +2,https://kr.indeed.com/rc/clk?jk=1601f1bfe3302af5&fccid=f35f7fc5e918087a&vjs=3
Logistics Management Institute,Junior Data Scientist,서울,N/A,https://kr.indeed.com/rc/clk?jk=ffcab40699b79c6b&fccid=12626f295bf6a003&vjs=3
루벤티스,"데이터마이닝, 인공지능(AI) 외 경력",서울 강남구,정규직,https://kr.indeed.com/rc/clk?jk=da437cb9cae31254&fccid=0513ee429c38f237&vjs=3
데이터비,백엔드 엔지니어 (Python) 정규직,서울 마포구,정규직 +1,https://kr.indeed.com/rc/clk?jk=79d696388d32d3ff&fccid=dd6f5fd8e8c02e7e&vjs=3
아토머스,파이썬(python) 백엔드 개발자 (전문연구요원 가능),서울 강남구,정규직 +1,https://kr.indeed.com/rc/clk?jk=240326a26bd13bf2&fccid=660bbb21789ab63d&vjs=3
주식회사 올라핀테크 관심기업,[올라핀테크] 핀테크 플랫폼 Python(파이썬) 개발자,서울 논현동,정규직,https://kr.indeed.com/rc/clk?jk=83afc0063130f3f2&fccid=ee9199e84b45d22f&vjs=3
데이터앤솔루션,파이썬 개발자 초중급 이상,서울 서초구,정규직 +1,https://kr.indeed.com/rc/clk?jk=d158e683dc0b7500&fccid=02f32b94107c54e3&vjs=3
쏘마,"2022년 상반기 주식회사 쏘마 전 개발 직군 (백엔드, 프론트엔드 외 신입/경력 정규직)",성남 분당구,정규직 +1,https://kr.indeed.com/rc/clk?jk=13ef6f86810c0843&fccid=a3463f311ce6421e&vjs=3
비에이코리아,[비에이코리아 주식회사] 데이터분석가(Business Data Analyst) 신입/경력,서울,정규직 +1,https://kr.indeed.com/rc/clk?jk=1dc91764525277cc&fccid=4c13ec332a36c73a&vjs=3
WorldQuant,Quantitative Researcher,서울,N/A,https://kr.indeed.com/rc/clk?jk=348a65ecf46497d8&fccid=08487f979320ebae&vjs=3
Nexon,[인텔리전스랩스] MLOps팀 백엔드 개발자 (Python/Go),경기도 성남,N/A,https://kr.indeed.com/rc/clk?jk=3dfd7829503d20e6&fccid=aba87288e4cc3687&vjs=3
Google,"2023 Student Training in Engineering Program (STEP), People with Disabilities (장애인 채용)",서울,정규직,https://kr.indeed.com/rc/clk?jk=5d24a062cabc9f0d&fccid=a5b4499d9e91a5c6&vjs=3
미스고,[취업축하금300] 미스고 웹 크롤러 - 주거안정비 지원,서울 강남구,"연봉 40,000,000원 - 60,000,000원",https://kr.indeed.com/rc/clk?jk=dcea8f10155e3061&fccid=28ad02baea3e6b67&vjs=3
니트로스튜디오,[카트라이더: 드리프트] 머신러닝 개발자,서울 강남구,정규직 +1,https://kr.indeed.com/rc/clk?jk=5195ea166a5b9b30&fccid=3343bd3ef4658848&vjs=3
데브시스터즈,[데브시스터즈] DevOps Engineer (신입),서울 강남구,신입공채,https://kr.indeed.com/rc/clk?jk=3058f7280a2e6644&fccid=58a9a803698a0afd&vjs=3
버즈니,[AI/LAB] 머신러닝 리서치 엔지니어 (전문연구요원 가능),서울,N/A,https://kr.indeed.com/rc/clk?jk=0a95c840f82cb01e&fccid=d18b6eed9577092f&vjs=3
㈜이투마스,[디지털일자리매칭플랫폼]2023년 IT개발자,서울 강서구,정규직 +1,https://kr.indeed.com/rc/clk?jk=ff9b9099c9b29fb7&fccid=8d8438b084abbbcf&vjs=3
데브시스터즈,[데브시스터즈] Data Analyst,서울 강남구,정규직,https://kr.indeed.com/rc/clk?jk=6b53335986238646&fccid=58a9a803698a0afd&vjs=3
Nexon,[인텔리전스랩스] 데이터 분석가 (리포트/게임 분석) (계약직),경기도 성남,N/A,https://kr.indeed.com/rc/clk?jk=1687b2f7872caea5&fccid=aba87288e4cc3687&vjs=3
Riiid Labs,상시지원 (AI & ML Engineer),서울,N/A,https://kr.indeed.com/rc/clk?jk=14a95a5daad2295e&fccid=933989f3b0ffe928&vjs=3
현대자동차그룹,[ICT] Data Engineering[책임매니저(G3)],서울 양재역,정규직,https://kr.indeed.com/rc/clk?jk=2227849edfa12196&fccid=980d6ecc399a3373&vjs=3
하람아이,2023년 (주)하람아이 AI팀,성남 수정구,정규직,https://kr.indeed.com/rc/clk?jk=f1a40936df480707&fccid=5d0ea4093a1ed598&vjs=3
시니어앤파트너즈,"[양재역] AI,빅데이터 데이터분석(석박사급)",서울 서초구,정규직 +1,https://kr.indeed.com/rc/clk?jk=277828805e37475d&fccid=59060ddcdf96b101&vjs=3
메이저 금융그룹 연구소,[메이저 금융그룹 연구소] Data Scientist 경력직 연구원 포지션,서울,"연봉 80,000,000원 - 150,000,000원",https://kr.indeed.com/company/%EB%8D%94-%ED%9C%B4%EB%A8%BC/jobs/%EC%97%B0%EA%B5%AC%EC%86%8C-%EC%97%B0%EA%B5%AC%EC%9B%90-f8a5bc05f47465f8?fccid=3cfe13845f73c09f&vjs=3
XYZ Robotics株式会社,ソフトウェア開発エンジニア,서울,"월급 3,500,000원 - 5,000,000원",https://kr.indeed.com/company/XYZ-Robotics%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/jobs/%E3%82%BD%E3%83%95%E3%83%88%E3%82%A6%E3%82%A7%E3%82%A2%E9%96%8B%E7%99%BA%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2-708b891a42f1586a?fccid=6474e829e71c3e03&vjs=3
MOLOCO,Machine Learning Engineer Intern - Korea,서울,인턴,https://kr.indeed.com/rc/clk?jk=69d3cc2cca262747&fccid=6588d205440cdcb9&vjs=3
베이리스,딥러닝 AI 개발 연구원,성남 수정구,정규직 +1,https://kr.indeed.com/rc/clk?jk=87309d3ff40ead61&fccid=ce871e9e4a9f430a&vjs=3
서륭통상,"PHP,PYTHON 등 웹 프로그래 개발자",서울 용산구,"월급 3,500,000원",https://kr.indeed.com/rc/clk?jk=5c4166454bb3bad6&fccid=0be3c6db7dd9c2e5&vjs=3
NHN Enterprise,클라우드 플랫폼 운영 엔지니어,성남 판교역,N/A,https://kr.indeed.com/rc/clk?jk=40e20a58af1e44ee&fccid=cc378bd7bc831eca&vjs=3
사이냅소프트,2023년 상시 [신입/경력] 개발자 중,서울 강서구,정규직 +1,https://kr.indeed.com/rc/clk?jk=5939f1161708ca93&fccid=0673ca84bc014599&vjs=3
엔씨소프트,[2023 전문연구요원] AI R&D-Language AI,성남 판교역,N/A,https://kr.indeed.com/rc/clk?jk=7da87f6985949b06&fccid=a1e4e21b1f33cf40&vjs=3
Amazon Web Services Korea LLC,"Associate Solutions Architect Internship - Summer 2023 (Korea), Builder",서울,정규직,https://kr.indeed.com/rc/clk?jk=715514fa2903944c&fccid=fe2d21eef233e94a&vjs=3
마인드에이아이,Python Backend Engineer,서울 중구,정규직,https://kr.indeed.com/rc/clk?jk=b2fc2142a72a2007&fccid=6e36b32060404d12&vjs=3
에이피에스티,"응용프로그램, Web 개발 엔지니어",서울 강서구,"연봉 27,000,000원 - 50,000,000원",https://kr.indeed.com/rc/clk?jk=2226f969e09c5c80&fccid=9952b8a561919689&vjs=3
MOLOCO,"Data Scientist, Growth Analytics Intern - Korea",서울,인턴,https://kr.indeed.com/rc/clk?jk=3d0e22b9756facb8&fccid=6588d205440cdcb9&vjs=3
Nexon,[인텔리전스랩스] 데이터 분석가 (유저 모델링),경기도 성남,N/A,https://kr.indeed.com/rc/clk?jk=a90afa858017fb31&fccid=aba87288e4cc3687&vjs=3
와이즈텍,"백엔드개발자, 모바일앱 개발자, 블록체인 개발자 신입",서울 용산구,"연봉 30,000,000원 - 35,000,000원",https://kr.indeed.com/rc/clk?jk=52049395e06b34cb&fccid=8b01882cef0e8002&vjs=3
Siemens Digital Industries Software,Ultrasound Engineer(Junior),경기도 성남,N/A,https://kr.indeed.com/rc/clk?jk=1078f6e8dd113c28&fccid=a1b70704c350f800&vjs=3
현대자동차그룹,[선행기술원] Quantum Computing/Information[책임연구원],성남 판교역,정규직,https://kr.indeed.com/rc/clk?jk=e424415872777a5f&fccid=980d6ecc399a3373&vjs=3
리빌더에이아이,[리빌더AI] 생성AI 개발자,서울 서초구,정규직 +1,https://kr.indeed.com/rc/clk?jk=e20399bf22bd8719&fccid=7b01cc3bad5410f7&vjs=3
에이치알니즈,[대기업] 데이터분석가 경력 (대리~과장급 2명),서울,정규직,https://kr.indeed.com/rc/clk?jk=b2eb1fe78ff9ee5f&fccid=b8c1027d6dda0525&vjs=3
데브시스터즈,[데브시스터즈] Data Platform Software Engineer (Senior/Junior),서울 강남구,정규직 +1,https://kr.indeed.com/rc/clk?jk=d832eb50f24e4587&fccid=58a9a803698a0afd&vjs=3
한화그룹,[DataLAB] AI 엔지니어 (OCR),서울,N/A,https://kr.indeed.com/rc/clk?jk=c665fec9e1df07af&fccid=bd0dc1817223394f&vjs=3
AIA,Data & Reporting Analyst,서울,정규직,https://kr.indeed.com/rc/clk?jk=f15d2672714490bf&fccid=004041685e219574&vjs=3
파이프트리스마트팜,데이터 분석가,서울 송파구,정규직,https://kr.indeed.com/rc/clk?jk=d49618d656468d9b&fccid=91264d1b241643c2&vjs=3
신세계아이앤씨,AI 백엔드 개발부문 인재,서울 중구,정규직,https://kr.indeed.com/rc/clk?jk=3c191136ea89714b&fccid=7009e9adee12ff99&vjs=3
현대차증권,서버/스토리지 운영 담당자 (경력),서울 영등포구+1 지역,정규직,https://kr.indeed.com/rc/clk?jk=bc36081e84a37d29&fccid=f355b774487a0304&vjs=3
딥엑스,전문연구요원 (병역특례) 수시 (AI / SW 분야),성남 분당구,"연봉 40,000,000원 - 100,000,000원",https://kr.indeed.com/rc/clk?jk=d83fc0dd2641f483&fccid=e34932b8232a173b&vjs=3
교보정보통신,IT사업 부문별 경력사원 (사업 확장에 따른 인재 ),서울 종로구,N/A,https://kr.indeed.com/rc/clk?jk=91b5ee6bdae33956&fccid=62d06d841710893c&vjs=3
마인드에이아이,Conversational AI Implementation Engineer,서울 중구,정규직,https://kr.indeed.com/rc/clk?jk=ad6564786cb10cbd&fccid=6e36b32060404d12&vjs=3
이마고웍스,AI R&D (Research and Development) Engineer (전문연구요원 가능),서울 강남구,신입공채,https://kr.indeed.com/rc/clk?jk=56d3950c0672dfe1&fccid=1c5712d7c48c7685&vjs=3
애크미랩,데이터 개발자 및 빅데이터 외 신입,서울 강남구,신입공채,https://kr.indeed.com/rc/clk?jk=277b1479621c4dcc&fccid=7d08c55041404b21&vjs=3
엘세븐시큐리티,딥러닝 통한 인공지능 솔루션 개발자,서울 송파구,"연봉 40,000,000원 - 50,000,000원",https://kr.indeed.com/rc/clk?jk=554e814302b8a380&fccid=72880ee98034ba13&vjs=3
에스케이텔레콤,Cloud기반 Data Platform Engineer,서울 중구,정규직,https://kr.indeed.com/rc/clk?jk=d8898ea01db8636e&fccid=ce2f0f28b40a5be8&vjs=3
